date,sector,index,price,chg_1d,chg_5d,rs,score,rank
2026-06-23,FMCG,NIFTY FMCG,49059.05,-0.6,0.0,0.0,0.0,3
2026-06-23,Auto,NIFTY AUTO,26496.5,-0.77,0.0,0.0,0.0,4
2026-06-23,Pharma,NIFTY PHARMA,24989.95,0.92,0.0,0.0,0.0,5
2026-06-23,Metal,NIFTY METAL,12669.1,-3.22,0.0,0.0,0.0,6
2026-06-23,Energy,NIFTY ENERGY,40268.7,-1.24,0.0,0.0,0.0,7
2026-06-23,Realty,NIFTY REALTY,806.05,-1.12,0.0,0.0,0.0,8
2026-06-23,Infra,NIFTY INFRA,9460.4,-0.95,0.0,0.0,0.0,9
2026-06-23,Media,NIFTY MEDIA,1514.4,-1.47,0.0,0.0,0.0,10
2026-06-24,IT,NIFTY IT,27566.7,2.05,0.0,0.0,0.0,1
2026-06-24,Banking,NIFTY BANK,58150.35,1.69,0.0,0.0,0.0,2
2026-06-24,FMCG,NIFTY FMCG,49085.1,0.05,0.0,0.0,0.0,3
2026-06-24,Auto,NIFTY AUTO,26384.35,-0.42,0.0,0.0,0.0,4
2026-06-24,Pharma,NIFTY PHARMA,25018.95,0.12,0.0,0.0,0.0,5
2026-06-24,Metal,NIFTY METAL,12618.75,-0.4,0.0,0.0,0.0,6
2026-06-24,Energy,NIFTY ENERGY,39908.4,-0.89,0.0,0.0,0.0,7
2026-06-24,Realty,NIFTY REALTY,823.55,2.17,0.0,0.0,0.0,8
2026-06-24,Infra,NIFTY INFRA,9463.1,0.03,0.0,0.0,0.0,9
2026-06-24,Media,NIFTY MEDIA,1519.3,0.32,0.0,0.0,0.0,10
2026-06-25,IT,NIFTY IT,27330.85,-0.86,0.0,0.0,0.0,1
2026-06-25,Banking,NIFTY BANK,58177.05,0.05,0.0,0.0,0.0,2
2026-06-25,FMCG,NIFTY FMCG,49419.25,0.68,0.0,0.0,0.0,3
2026-06-25,Auto,NIFTY AUTO,26977.75,2.25,0.0,0.0,0.0,4
2026-06-25,Pharma,NIFTY PHARMA,24969.5,-0.2,0.0,0.0,0.0,5
2026-06-25,Metal,NIFTY METAL,12445.65,-1.37,0.0,0.0,0.0,6
2026-06-25,Energy,NIFTY ENERGY,39637.0,-0.68,0.0,0.0,0.0,7
2026-06-25,Realty,NIFTY REALTY,826.25,0.33,0.0,0.0,0.0,8
2026-06-25,Infra,NIFTY INFRA,9460.5,-0.03,0.0,0.0,0.0,9
2026-06-25,Media,NIFTY MEDIA,1509.8,-0.63,0.0,0.0,0.0,10
2026-07-14,IT,NIFTY IT,28724.75,-1.0,0.0,0.0,0.0,1
2026-07-14,Banking,NIFTY BANK,57462.3,-1.15,0.0,0.0,0.0,2
2026-07-14,FMCG,NIFTY FMCG,48524.95,-0.58,0.0,0.0,0.0,3
2026-07-14,Auto,NIFTY AUTO,26547.5,-1.61,0.0,0.0,0.0,4
2026-07-14,Pharma,NIFTY PHARMA,25907.1,1.03,0.0,0.0,0.0,5
2026-07-14,Metal,NIFTY METAL,12677.7,0.61,0.0,0.0,0.0,6
2026-07-14,Energy,NIFTY ENERGY,39203.15,-0.04,0.0,0.0,0.0,7
2026-07-14,Realty,NIFTY REALTY,918.65,-1.97,0.0,0.0,0.0,8
2026-07-14,Infra,NIFTY INFRA,9350.75,-0.32,0.0,0.0,0.0,9
2026-07-14,Media,NIFTY MEDIA,1510.6,-0.31,0.0,0.0,0.0,10
2026-07-15,IT,NIFTY IT,28532.25,-0.67,0.0,0.0,0.0,1
2026-07-15,Banking,NIFTY BANK,57757.85,0.51,0.0,0.0,0.0,2
2026-07-15,FMCG,NIFTY FMCG,48286.5,-0.49,0.0,0.0,0.0,3
2026-07-15,Auto,NIFTY AUTO,26645.1,0.37,0.0,0.0,0.0,4
2026-07-15,Pharma,NIFTY PHARMA,26003.6,0.37,0.0,0.0,0.0,5
2026-07-15,Metal,NIFTY METAL,12536.9,-1.11,0.0,0.0,0.0,6
2026-07-15,Energy,NIFTY ENERGY,39381.25,0.45,0.0,0.0,0.0,7
2026-07-15,Realty,NIFTY REALTY,915.15,-0.38,0.0,0.0,0.0,8
2026-07-15,Infra,NIFTY INFRA,9337.8,-0.14,0.0,0.0,0.0,9
2026-07-15,Media,NIFTY MEDIA,1503.7,-0.46,0.0,0.0,0.0,10
2026-07-16,IT,NIFTY IT,28722.6,0.67,0.0,0.0,0.0,1
2026-07-16,Banking,NIFTY BANK,57582.25,-0.3,0.0,0.0,0.0,2
2026-07-16,FMCG,NIFTY FMCG,48408.0,0.25,0.0,0.0,0.0,3
2026-07-16,Auto,NIFTY AUTO,26767.55,0.46,0.0,0.0,0.0,4
2026-07-16,Pharma,NIFTY PHARMA,26008.05,0.02,0.0,0.0,0.0,5
2026-07-16,Metal,NIFTY METAL,12495.9,-0.33,0.0,0.0,0.0,6
2026-07-16,Energy,NIFTY ENERGY,39345.8,-0.09,0.0,0.0,0.0,7
2026-07-16,Realty,NIFTY REALTY,906.15,-0.98,0.0,0.0,0.0,8
2026-07-16,Infra,NIFTY INFRA,9331.3,-0.07,0.0,0.0,0.0,9
2026-07-16,Media,NIFTY MEDIA,1521.4,1.18,0.0,0.0,0.0,10
2026-07-18,IT,NIFTY IT,29226.6,1.75,0.0,0.0,0.0,1
2026-07-18,Banking,NIFTY BANK,58521.4,1.63,0.0,0.0,0.0,2
2026-07-18,FMCG,NIFTY FMCG,48748.7,0.7,0.0,0.0,0.0,3
2026-07-18,Auto,NIFTY AUTO,27099.75,1.24,0.0,0.0,0.0,4
2026-07-18,Pharma,NIFTY PHARMA,25645.0,-1.4,0.0,0.0,0.0,5
2026-07-18,Metal,NIFTY METAL,12436.95,-0.47,0.0,0.0,0.0,6
2026-07-18,Energy,NIFTY ENERGY,39277.0,-0.17,0.0,0.0,0.0,7
2026-07-18,Realty,NIFTY REALTY,918.7,1.38,0.0,0.0,0.0,8
2026-07-18,Infra,NIFTY INFRA,9377.35,0.49,0.0,0.0,0.0,9
2026-07-18,Media,NIFTY MEDIA,1521.45,0.0,0.0,0.0,0.0,10
2026-07-20,IT,NIFTY IT,29161.85,-0.22,0.0,0.0,0.0,1
2026-07-20,Banking,NIFTY BANK,57945.0,-0.98,0.0,0.0,0.0,2
2026-07-20,FMCG,NIFTY FMCG,49067.45,0.65,0.0,0.0,0.0,3
2026-07-20,Auto,NIFTY AUTO,27028.35,-0.26,0.0,0.0,0.0,4
2026-07-20,Pharma,NIFTY PHARMA,26003.15,1.4,0.0,0.0,0.0,5
2026-07-20,Metal,NIFTY METAL,12543.75,0.86,0.0,0.0,0.0,6
2026-07-20,Energy,NIFTY ENERGY,39663.45,0.98,0.0,0.0,0.0,7
2026-07-20,Realty,NIFTY REALTY,917.5,-0.13,0.0,0.0,0.0,8
2026-07-20,Infra,NIFTY INFRA,9443.0,0.7,0.0,0.0,0.0,9
2026-07-20,Media,NIFTY MEDIA,1538.05,1.09,0.0,0.0,0.0,10
2026-07-21,IT,NIFTY IT,28984.4,-0.61,0.0,0.0,0.0,1
2026-07-21,Banking,NIFTY BANK,57835.35,-0.19,0.0,0.0,0.0,2
2026-07-21,FMCG,NIFTY FMCG,48917.2,-0.31,0.0,0.0,0.0,3
2026-07-21,Auto,NIFTY AUTO,27280.6,0.93,0.0,0.0,0.0,4
2026-07-21,Pharma,NIFTY PHARMA,26092.85,0.34,0.0,0.0,0.0,5
2026-07-21,Metal,NIFTY METAL,12623.3,0.63,0.0,0.0,0.0,6
2026-07-21,Energy,NIFTY ENERGY,39587.25,-0.19,0.0,0.0,0.0,7
2026-07-21,Realty,NIFTY REALTY,927.35,1.07,0.0,0.0,0.0,8
2026-07-21,Infra,NIFTY INFRA,9450.55,0.08,0.0,0.0,0.0,9
2026-07-21,Media,NIFTY MEDIA,1537.4,-0.04,0.0,0.0,0.0,10
2026-07-22,IT,NIFTY IT,28549.85,-1.5,0.0,0.0,0.0,1
2026-07-22,Banking,NIFTY BANK,57126.8,-1.23,0.0,0.0,0.0,2
2026-07-22,FMCG,NIFTY FMCG,49233.8,0.65,0.0,0.0,0.0,3
2026-07-22,Auto,NIFTY AUTO,27329.65,0.18,0.0,0.0,0.0,4
2026-07-22,Pharma,NIFTY PHARMA,25752.25,-1.31,0.0,0.0,0.0,5
2026-07-22,Metal,NIFTY METAL,12562.85,-0.48,0.0,0.0,0.0,6
2026-07-22,Energy,NIFTY ENERGY,39435.65,-0.38,0.0,0.0,0.0,7
2026-07-22,Realty,NIFTY REALTY,903.0,-2.63,0.0,0.0,0.0,8
2026-07-22,Infra,NIFTY INFRA,9369.95,-0.85,0.0,0.0,0.0,9
2026-07-22,Media,NIFTY MEDIA,1496.2,-2.68,0.0,0.0,0.0,10
2026-07-23,IT,NIFTY IT,28533.55,-0.06,0.0,0.0,0.0,1
2026-07-23,Banking,NIFTY BANK,56592.0,-0.94,0.0,0.0,0.0,2
2026-07-23,FMCG,NIFTY FMCG,49033.2,-0.41,0.0,0.0,0.0,3
2026-07-23,Auto,NIFTY AUTO,27520.8,0.7,0.0,0.0,0.0,4
2026-07-23,Pharma,NIFTY PHARMA,25653.55,-0.38,0.0,0.0,0.0,5
2026-07-23,Metal,NIFTY METAL,12469.7,-0.74,0.0,0.0,0.0,6
2026-07-23,Energy,NIFTY ENERGY,39045.25,-0.99,0.0,0.0,0.0,7
2026-07-23,Realty,NIFTY REALTY,886.7,-1.81,0.0,0.0,0.0,8
2026-07-23,Infra,NIFTY INFRA,9279.75,-0.96,0.0,0.0,0.0,9
2026-07-23,Media,NIFTY MEDIA,1499.5,0.22,0.0,0.0,0.0,10
2026-07-24,IT,NIFTY IT,28767.95,0.82,0.0,0.0,0.0,1
