date,vix
2026-06-24,13.39
2026-06-25,13.05
2026-07-14,13.75
2026-07-15,13.27
2026-07-16,12.88
2026-07-18,13.15
2026-07-20,12.98
2026-07-21,12.6
2026-07-22,13.29
2026-07-23,13.48
2026-07-24,14.03
2026-07-25,14.03
2026-07-26,14.03
2026-07-27,12.66
2026-07-28,12.56
2026-07-29,12.01
2026-07-30,12.01
2026-08-05,12.09
