token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
1122361,POWERINDIA26JUN29000CE,POWERINDIA,25JUN2026,2900000.000000,25,OPTSTK,BFO,5.000000,100000000
1122405,KPITTECH26JUN760CE,KPITTECH,25JUN2026,76000.000000,425,OPTSTK,BFO,5.000000,100000000
1139286,KALYANKJIL26JUL405CE,KALYANKJIL,30JUL2026,40500.000000,1350,OPTSTK,BFO,5.000000,100000000
1139314,INDHOTEL26JUL605CE,INDHOTEL,30JUL2026,60500.000000,1000,OPTSTK,BFO,5.000000,60000
1139338,IDEA26JUL15CE,IDEA,30JUL2026,1500.000000,71475,OPTSTK,BFO,5.000000,2400000
1139376,PNB26JUL114CE,PNB,30JUL2026,11400.000000,8000,OPTSTK,BFO,5.000000,480000
1153323,PREMIERENE26JUL1100PE,PREMIERENE,30JUL2026,110000.000000,650,OPTSTK,BFO,5.000000,100000000
1153353,MOTILALOFS26JUL890PE,MOTILALOFS,30JUL2026,89000.000000,775,OPTSTK,BFO,5.000000,100000000
1153372,LAURUSLABS26JUL1230CE,LAURUSLABS,30JUL2026,123000.000000,850,OPTSTK,BFO,5.000000,68000
1153384,EICHERMOT26JUL7550PE,EICHERMOT,30JUL2026,755000.000000,100,OPTSTK,BFO,5.000000,7000
1122429,KPITTECH26JUN760PE,KPITTECH,25JUN2026,76000.000000,425,OPTSTK,BFO,5.000000,100000000
1122445,DMART26JUN4650PE,DMART,25JUN2026,465000.000000,150,OPTSTK,BFO,5.000000,100000000
1122649,VOLTAS26JUN1100PE,VOLTAS,25JUN2026,110000.000000,375,OPTSTK,BFO,5.000000,30000
1122653,PAGEIND26JUN35750PE,PAGEIND,25JUN2026,3575000.000000,15,OPTSTK,BFO,5.000000,600
1139402,KOTAKBANK26JUL377.5CE,KOTAKBANK,30JUL2026,37750.000000,2000,OPTSTK,BFO,5.000000,12000
1139403,BANKINDIA26JUL135.35CE,BANKINDIA,30JUL2026,13535.000000,5200,OPTSTK,BFO,5.000000,100000000
1139420,JINDALSTEL26JUL1160PE,JINDALSTEL,30JUL2026,116000.000000,625,OPTSTK,BFO,5.000000,37500
1139458,MCX26JUL2850PE,MCX,30JUL2026,285000.000000,225,OPTSTK,BFO,5.000000,16000
1153400,ONGC26JUL277.5CE,ONGC,30JUL2026,27750.000000,2250,OPTSTK,BFO,5.000000,154000
1153421,BHARATFORG26JUL1700CE,BHARATFORG,30JUL2026,170000.000000,500,OPTSTK,BFO,5.000000,30000
1153433,GODFRYPHLP26JUL2080CE,GODFRYPHLP,30JUL2026,208000.000000,275,OPTSTK,BFO,5.000000,100000000
1153436,ICICIPRULI26JUL565PE,ICICIPRULI,30JUL2026,56500.000000,925,OPTSTK,BFO,5.000000,60000
1122714,BLUESTARCO26JUN1400CE,BLUESTARCO,25JUN2026,140000.000000,325,OPTSTK,BFO,5.000000,100000000
1122715,PERSISTENT26JUN5450PE,PERSISTENT,25JUN2026,545000.000000,100,OPTSTK,BFO,5.000000,5250
1122729,AMBER26JUN5600PE,AMBER,25JUN2026,560000.000000,100,OPTSTK,BFO,5.000000,100000000
1122774,AMBER26JUN5800PE,AMBER,25JUN2026,580000.000000,100,OPTSTK,BFO,5.000000,100000000
1139463,ADANIPOWER26JUN225PE,ADANIPOWER,25JUN2026,22500.000000,3550,OPTSTK,BFO,5.000000,100000000
1139483,BAJAJ-AUTO26JUL10200CE,BAJAJ-AUTO,30JUL2026,1020000.000000,75,OPTSTK,BFO,5.000000,5000
1139495,CROMPTON26JUL282.5CE,CROMPTON,30JUL2026,28250.000000,2150,OPTSTK,BFO,5.000000,90000
1139506,TECHM26JUL1540PE,TECHM,30JUL2026,154000.000000,600,OPTSTK,BFO,5.000000,24000
1153527,SRF26JUL2680CE,SRF,30JUL2026,268000.000000,200,OPTSTK,BFO,5.000000,11250
1153539,POLYCAB26JUL8900PE,POLYCAB,30JUL2026,890000.000000,125,OPTSTK,BFO,5.000000,9000
1153543,CGPOWER26JUL730PE,CGPOWER,30JUL2026,73000.000000,850,OPTSTK,BFO,5.000000,100000000
1153619,GODREJPROP26JUL2020PE,GODREJPROP,30JUL2026,202000.000000,325,OPTSTK,BFO,5.000000,19000
1122856,SOLARINDS26JUN14750PE,SOLARINDS,25JUN2026,1475000.000000,50,OPTSTK,BFO,5.000000,100000000
1122861,MAXHEALTH26JUN880CE,MAXHEALTH,25JUN2026,88000.000000,525,OPTSTK,BFO,5.000000,100000000
1122895,ASHOKLEY26JUN130CE,ASHOKLEY,25JUN2026,13000.000000,5000,OPTSTK,BFO,5.000000,150000
1122936,PAGEIND26JUN34750PE,PAGEIND,25JUN2026,3475000.000000,15,OPTSTK,BFO,5.000000,600
