token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
139779,SHRIRAMFIN28JUL26800PE,SHRIRAMFIN,28JUL2026,80000.000000,825,OPTSTK,NFO,5.000000,24751
139786,SHRIRAMFIN28JUL26880CE,SHRIRAMFIN,28JUL2026,88000.000000,825,OPTSTK,NFO,5.000000,24751
139807,SHRIRAMFIN28JUL261080CE,SHRIRAMFIN,28JUL2026,108000.000000,825,OPTSTK,NFO,5.000000,24751
139818,LT30JUN263440PE,LT,30JUN2026,344000.000000,175,OPTSTK,NFO,5.000000,7001
139856,LT30JUN263720CE,LT,30JUN2026,372000.000000,175,OPTSTK,NFO,5.000000,7001
139860,LT30JUN263800CE,LT,30JUN2026,380000.000000,175,OPTSTK,NFO,5.000000,7001
139878,LT30JUN264120CE,LT,30JUN2026,412000.000000,175,OPTSTK,NFO,5.000000,7001
139889,LT30JUN264240PE,LT,30JUN2026,424000.000000,175,OPTSTK,NFO,5.000000,7001
139893,LT30JUN264400PE,LT,30JUN2026,440000.000000,175,OPTSTK,NFO,5.000000,7001
139928,PRESTIGE28JUL261500CE,PRESTIGE,28JUL2026,150000.000000,450,OPTSTK,NFO,5.000000,18001
139954,PRESTIGE25AUG261200CE,PRESTIGE,25AUG2026,120000.000000,450,OPTSTK,NFO,5.000000,18001
139979,PRESTIGE25AUG261480CE,PRESTIGE,25AUG2026,148000.000000,450,OPTSTK,NFO,5.000000,18001
139980,PRESTIGE25AUG261480PE,PRESTIGE,25AUG2026,148000.000000,450,OPTSTK,NFO,5.000000,18001
140051,LTF30JUN26230PE,LTF,30JUN2026,23000.000000,2250,OPTSTK,NFO,5.000000,90001
140098,RADICO30JUN263300CE,RADICO,30JUN2026,330000.000000,150,OPTSTK,NFO,5.000000,6001
140101,SIEMENS30JUN263450CE,SIEMENS,30JUN2026,345000.000000,175,OPTSTK,NFO,5.000000,7001
140111,SIEMENS30JUN263650PE,SIEMENS,30JUN2026,365000.000000,175,OPTSTK,NFO,5.000000,7001
